year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,sai_realized_forcing_wm2
2026,424.954328466289,1.418041717312451,,1.418041717312451,0.0,-0.0
2027,427.2904353896449,1.4388117390799384,,1.4388117390799384,0.0,-0.0
2028,429.4160328675757,1.461399447368212,,1.461399447368212,0.0,-0.0
2029,431.3201831115328,1.4823276602293245,,1.4823276602293245,0.0,-0.0
2030,432.86418875476886,1.4994159994856238,,1.4994159994856238,0.0,-0.0
2031,434.10814080086806,1.520312932066729,,1.520312932066729,0.0,-0.0
2032,434.9978544833465,1.5258914700314634,,1.5258914700314634,0.0,-0.0
2033,435.49192537517297,1.53270616963478,,1.53270616963478,0.0,-0.0
2034,435.5730564640198,1.5608361203059384,,1.5608361203059384,0.0,-0.0
2035,435.3780330932249,1.582357815583918,1.582357815583918,1.582357815583918,0.0,-0.0
2036,434.842405141618,1.596301730923325,1.5590635029605613,1.596301730923325,0.19065972716934992,-0.0
2037,434.00094666893256,1.6164329265295925,1.5357691903372046,1.5898050463721662,0.28113217025453524,-0.186395161101983
2038,432.8301457453754,1.6315844440663705,1.512474877713848,1.5733330668626002,0.32254681852133876,-0.27195745162351775
2039,431.34475655586846,1.638721735889319,1.489180565090491,1.5519017138805593,0.339388154582727,-0.31052765370931834
2040,429.65532755681954,1.63718039154189,1.4658862524671343,1.5272798140914654,0.3401174461489606,-0.3261069348835174
2041,427.77932192916313,1.6342795072483456,1.4425919398437776,1.5074065556296112,0.3650004708507732,-0.32678020816652564
2042,425.7985784969926,1.6274670825461526,1.419297627220421,1.4848804409261835,0.3767113980951097,-0.34968427964445253
2043,423.7098143103413,1.6138510680695322,1.3960033145970643,1.4581949734605533,0.3672186229473604,-0.36041854520737265
2044,421.5911651990637,1.626630481761692,1.3727090019737076,1.4625972263482103,0.5164880374273694,-0.3517196617645573
2045,419.5242997546436,1.627749280735828,1.3494146893503507,1.438274172158568,0.5220074675329278,-0.4863450682498293
2046,417.53831947187575,1.6452627316272816,1.326120376726994,1.436441298442314,0.6425531726742805,-0.4912360040412591
2047,415.6373187856733,1.643732255875141,1.3028260641036373,1.4056416341002147,0.6173642824801564,-0.5965549774612011
2048,413.7778641844761,1.6621235635717289,1.2795317514802806,1.4056775481329296,0.749152911358832,-0.574782276736954
2049,411.979850399778,1.6650059387085867,1.2562374388569237,1.3789435401540084,0.746679166736661,-0.687360350436937
2050,410.23648256218377,1.664820952843025,1.2329431262335673,1.3573061728689295,0.7698874590242922,-0.6852772933323835
2051,408.5386340414906,1.6695039495554145,1.2096488136102104,1.3433822546939218,0.8327874441960836,-0.7047757020887152
2052,406.88430793220033,1.6529015792525132,1.1863545009868537,1.305539496758071,0.7743474171261586,-0.7571245826602818
2053,405.3032435615028,1.6516036507530931,1.163060188363497,1.2954940810305977,0.856483968725628,-0.7085113454808386
2054,403.75459919260106,1.6441477356402894,1.1397658757401403,1.2716989850570597,0.8698120250927517,-0.7766603155916698
2055,402.2464798368389,1.6413975488637036,1.1164715631167836,1.2552462084926246,0.9206726628324605,-0.7876039397555727
2056,400.7803925175034,1.634200194916776,1.093177250493427,1.2318962439703118,0.9370406825549064,-0.8290757746914527
2057,399.3432294167048,1.6593339665020026,1.0698829378700703,1.243116242332609,1.13040023401868,-0.8423254920719649
2058,397.9360424111924,1.6479353680632047,1.0465886252467134,1.1994535106123,1.0469019247777906,-0.9953790312369727
2059,396.5494862075801,1.6383776145437985,1.023294312623357,1.1754502359758874,1.0616158255148131,-0.9300601175154701
2060,395.1944846615793,1.640600579495743,1.0,1.1652014669842388,1.1466677197114632,-0.9416547547386009
2061,393.88413474850427,1.6349396693185456,1.0,1.1406814459882317,1.0409493882500158,-1.0079708090179793
2062,392.61469815942473,1.6284659034259523,1.0,1.1319636591091486,1.0131960929476982,-0.9253591440595715
2063,391.3446889834331,1.6322210001412716,1.0,1.1369097150279104,1.054355538344856,-0.903362134700273
2064,390.11180502822367,1.621348774743478,1.0,1.1219355758884444,0.9941171117541394,-0.9359381497379258
2065,388.8763099925097,1.6312175655417591,1.0,1.1353278022155167,1.0773175796553627,-0.8881643824739868
2066,387.6671914423072,1.608671469366462,1.0,1.105631897441715,0.9415138834793602,-0.9539878357125079
2067,386.471679704188,1.6162239745688676,1.0,1.1231020245361396,1.04363676189582,-0.8459383583992808
2068,385.2990773095997,1.6054374454579314,1.0,1.107580354444798,0.9789380539724877,-0.9274822173340805
2069,384.1513233445322,1.6038459742724485,1.0,1.1095869055915313,1.0021212383771378,-0.8760287127754742
2070,383.005141989489,1.618897378797833,1.0,1.12431035658701,1.0906557361449731,-0.8945477968599213
2071,381.88758935964506,1.6167009818494489,1.0,1.1115924054246897,1.0404570689843342,-0.964432124676822
2072,380.79312032615286,1.6097038448177765,1.0,1.1022697240159034,1.006116028822311,-0.9249700710958587
2073,379.6927647632014,1.611090264224374,1.0,1.1055507516047536,1.0351872569591323,-0.8977296107155871
2074,378.6113306762912,1.5981683025349305,1.0,1.0904108991153723,0.9703373024060703,-0.9208028515834358
2075,377.5376584582351,1.5972885054118042,1.0,1.0949977260115777,1.0046711640084869,-0.8691348289625487
2076,376.5064825939023,1.600223092769705,1.0,1.097696436489218,1.029888288775395,-0.8965791034320013
2077,375.4632157099621,1.5848700940207447,1.0,1.0790181565583878,0.9459790679082503,-0.9166078464058345
2078,374.4357568950009,1.5776007646238084,1.0,1.0786167620163676,0.953406106640113,-0.8495412761597123
2079,373.43703329766106,1.5803209789754984,1.0,1.085195143323288,0.9965214303735099,-0.8555264137668459
2080,372.3991638632354,1.5807998849049425,1.0,1.0832645894332176,0.9968604116551437,-0.8900830145198515
2081,371.40526603606384,1.5866632847653874,1.0,1.087054827700157,1.02625818231386,-0.8903534400438603
2082,370.4218177199178,1.5840908702702956,1.0,1.0793534767777715,0.9967673838888574,-0.9137312782277769
2083,369.4439618392154,1.5799391744121785,1.0,1.0745369786633097,0.9726848933165483,-0.8902792282196825
2084,368.4625182049772,1.575386492528476,1.0,1.071971633913504,0.9598581695675196,-0.8710177915934065
2085,367.4917176069188,1.5643946140600498,1.0,1.0636206113201863,0.9181030566009313,-0.8607180942340974
2086,366.53040513345206,1.557822587543178,1.0,1.0635156225600606,0.917578112800303,-0.8269914511147737
2087,365.58099573094046,1.552475855364848,1.0,1.0626701071272477,0.9133505356362387,-0.8265655030706905
2088,364.6353045137353,1.5562644142877171,1.0,1.0699635167041182,0.9498175835205908,-0.8231334142586516
2089,363.7002816304295,1.5569321342639957,1.0,1.068710248019056,0.94355124009528,-0.8526357699267819
2090,362.77216868852986,1.5454286131764363,1.0,1.0562733868910592,0.881366934455296,-0.8475827136316267
2091,361.84675838354826,1.547215704318033,1.0,1.0643419608142946,0.9217098040714727,-0.7970660184649436
2092,360.9310576440207,1.5590443820853013,1.0,1.0758001401330621,0.9790007006653106,-0.8299167189060487
2093,360.0260321339677,1.56559601844547,1.0,1.0752393727064578,0.9761968635322887,-0.8760788801631715
2094,359.12832422499355,1.567876830753401,1.0,1.0724127447423482,0.9620637237117408,-0.8738329100117205
2095,358.2262956841787,1.5657364371386708,1.0,1.0679218146468341,0.9396090732341705,-0.8624911500172578
2096,357.3286250314057,1.566750310849376,1.0,1.0695560772796333,0.9477803863981665,-0.8444003280705326
2097,356.43715435255547,1.5592072305200937,1.0,1.061271709853419,0.906358549267095,-0.8509937627269887
2098,355.5446643612121,1.5460522067652935,1.0,1.0521193723920688,0.8605968619603438,-0.8174501927691343
2099,354.66863836261075,1.5243613224660029,1.0,1.038440985863728,0.7922049293186401,-0.7800407838649157
2100,353.79757260164183,1.538508412530982,1.0,1.0662692920318273,0.9313464601591365,-0.723432147705825
2101,352.921426913506,1.536351122898738,1.0,1.0575166136601861,0.8875830683009306,-0.8377213972119829
2102,352.0679851778796,1.531933358476127,1.0,1.0531509027440502,0.865754513720251,-0.8021464729756689
