tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2026,424.954328466289,1.418041717312451,,1.418041717312451,0.0,0.0,-0.0
0.67,2027,427.2904353896449,1.4388117390799384,,1.4388117390799384,0.0,0.0,-0.0
0.67,2028,429.4160328675757,1.461399447368212,,1.461399447368212,0.0,0.0,-0.0
0.67,2029,431.3201831115328,1.4823276602293245,,1.4823276602293245,0.0,0.0,-0.0
0.67,2030,432.86418875476886,1.4994159994856238,,1.4994159994856238,0.0,0.0,-0.0
0.67,2031,434.10814080086806,1.520312932066729,,1.520312932066729,0.0,0.0,-0.0
0.67,2032,434.9978544833465,1.5258914700314634,,1.5258914700314634,0.0,0.0,-0.0
0.67,2033,435.49192537517297,1.53270616963478,,1.53270616963478,0.0,0.0,-0.0
0.67,2034,435.5730564640198,1.5608361203059384,,1.5608361203059384,0.0,0.0,-0.0
0.67,2035,435.3780330932249,1.582357815583918,1.582357815583918,1.582357815583918,0.0,0.0,-0.0
0.67,2036,434.842405141618,1.596301730923325,1.5590635029605613,1.596301730923325,0.19065972716934992,0.0,-0.0
0.67,2037,434.00094666893256,1.6164329265295925,1.5357691903372046,1.5957910348206494,0.3117804311107692,0.14449324196260105,-0.14449324196260105
0.67,2038,432.8301457453754,1.6315844440663705,1.512474877713848,1.5786228431899374,0.3503487919311231,0.26545755841942165,-0.26545755841942165
0.67,2039,431.34475655586846,1.638721735889319,1.489180565090491,1.5543627425825126,0.35334171330982633,0.3203076434084614,-0.3203076434084614
0.67,2040,429.65532755681954,1.63718039154189,1.4658862524671343,1.5278425661338395,0.34464715182324884,0.3347739628948596,-0.3347739628948596
0.67,2041,427.77932192916313,1.6342795072483456,1.4425919398437776,1.5071065569612274,0.3651804231310658,0.33181695390846017,-0.33181695390846017
0.67,2042,425.7985784969926,1.6274670825461526,1.419297627220421,1.485227238758224,0.3801669486173681,0.3457957117060324,-0.3457957117060324
0.67,2043,423.7098143103413,1.6138510680695322,1.3960033145970645,1.4585766731208485,0.3708944865701273,0.35958237355919226,-0.35958237355919226
0.67,2044,421.5911651990637,1.626630481761692,1.3727090019737076,1.4622592900037343,0.5165251686649442,0.3561001713840415,-0.3561001713840415
0.67,2045,419.5242997546436,1.627749280735828,1.3494146893503507,1.442217020009467,0.5439216614894864,0.45709133719710315,-0.45709133719710315
0.67,2046,417.53831947187575,1.6452627316272816,1.326120376726994,1.438276284240621,0.6541482546636743,0.498567163110182,-0.498567163110182
0.67,2047,415.6373187856733,1.643732255875141,1.302826064103637,1.4090323449157967,0.6371448748537967,0.5822648121461245,-0.5822648121461245
0.67,2048,413.7778641844761,1.6621235635717289,1.2795317514802806,1.4060265565471848,0.7537668727355481,0.5897266125699228,-0.5897266125699228
0.67,2049,411.979850399778,1.6650059387085867,1.2562374388569235,1.3819191656521337,0.7647832885925034,0.6684216355320306,-0.6684216355320306
0.67,2050,410.23648256218377,1.664820952843025,1.2329431262335673,1.3583460336126405,0.7784375403973076,0.6932856139326592,-0.6932856139326592
0.67,2051,408.5386340414906,1.6695039495554145,1.2096488136102104,1.343734059119173,0.8379394605078305,0.7077418156452777,-0.7077418156452777
0.67,2052,406.88430793220033,1.6529015792525132,1.1863545009868537,1.306928920694268,0.7848542618649783,0.749322489550537,-0.749322489550537
0.67,2053,405.3032435615028,1.6516036507530931,1.163060188363497,1.2942413970745719,0.8536299519286099,0.7244966832610401,-0.7244966832610401
0.67,2054,403.75459919260106,1.6441477356402894,1.1397658757401403,1.2727409819064164,0.8785564519445691,0.7631140322450493,-0.7631140322450493
0.67,2055,402.2464798368389,1.6413975488637036,1.1164715631167836,1.2560170996698152,0.9281540682647105,0.7876511753907607,-0.7876511753907607
0.67,2056,400.7803925175034,1.634200194916776,1.093177250493427,1.2331359809050717,0.9470150852071737,0.824462651850563,-0.824462651850563
0.67,2057,399.3432294167048,1.6593339665020026,1.0698829378700705,1.2437209960153126,1.1372722908525894,0.84455120829095,-0.84455120829095
0.67,2058,397.9360424111924,1.6479353680632047,1.0465886252467134,1.2041684293689443,1.0748905972322014,0.9656002977284511,-0.9656002977284511
0.67,2059,396.5494862075801,1.6383776145437985,1.023294312623357,1.1753255169598313,1.0653913428237958,0.9551226634079479,-0.9551226634079479
0.67,2060,395.1944846615793,1.640600579495743,1.0,1.1643729061606878,1.1468246006841452,0.9469841397548342,-0.9469841397548342
0.67,2061,393.88413474850427,1.6349396693185456,1.0,1.142046306235792,1.052237157807961,0.9943548835113978,-0.9943548835113978
0.67,2062,392.61469815942473,1.6284659034259523,1.0,1.1297782962960878,1.0064705036649708,0.9477760211969836,-0.9477760211969836
0.67,2063,391.3446889834331,1.6322210001412716,1.0,1.1345071474843245,1.046255617304273,0.9091988853061206,-0.9091988853061206
0.67,2064,390.11180502822367,1.621348774743478,1.0,1.1217730467833171,0.9971978794132343,0.9249750299740728,-0.9249750299740728
0.67,2065,388.8763099925097,1.6312175655417591,1.0,1.1337749175662029,1.0732602234356072,0.8983451090778057,-0.8983451090778057
0.67,2066,387.6671914423072,1.608671469366462,1.0,1.1066596017293366,0.9504827964587966,0.9390118540623499,-0.9390118540623499
0.67,2067,386.471679704188,1.6162239745688676,1.0,1.1200791636276075,1.031990105585464,0.8724687639452628,-0.8724687639452628
0.67,2068,385.2990773095997,1.6054374454579314,1.0,1.1081836707525539,0.9854946817005021,0.9079756320054377,-0.9079756320054377
0.67,2069,384.1513233445322,1.6038459742724485,1.0,1.1084362339241536,0.9997698456293991,0.8872778025211702,-0.8872778025211702
0.67,2070,383.005141989489,1.618897378797833,1.0,1.1239301161196464,1.092110870541221,0.8914606634579109,-0.8914606634579109
0.67,2071,381.88758935964506,1.6167009818494489,1.0,1.113548992371988,1.0538311308875667,0.9489099229392732,-0.9489099229392732
0.67,2072,380.79312032615286,1.6097038448177765,1.0,1.101773333933488,1.0071656387670864,0.9385338732698485,-0.9385338732698485
0.67,2073,379.6927647632014,1.611090264224374,1.0,1.1038031976194076,1.029771340911013,0.9075501912874337,-0.9075501912874337
0.67,2074,378.6113306762912,1.5981683025349305,1.0,1.090054683613547,0.9718353329153352,0.9144998595096229,-0.9144998595096229
0.67,2075,377.5376584582351,1.5972885054118042,1.0,1.0931634833164041,0.9985589494275895,0.8802644783204316,-0.8802644783204316
0.67,2076,376.5064825939023,1.600223092769705,1.0,1.0974382955889523,1.031625606261005,0.889135609536637,-0.889135609536637
0.67,2077,375.4632157099621,1.5848700940207447,1.0,1.0795734609814778,0.9518502485414094,0.9114986375089686,-0.9114986375089686
0.67,2078,374.4357568950009,1.5776007646238084,1.0,1.0765207787605657,0.9457693308881171,0.8671377261891965,-0.8671377261891965
0.67,2079,373.43703329766106,1.5803209789754984,1.0,1.0839902336835994,0.9931954335453173,0.8533658547100954,-0.8533658547100954
0.67,2080,372.3991638632354,1.5807998849049425,1.0,1.0838717848740163,1.0026678036822836,0.879771262907423,-0.879771262907423
0.67,2081,371.40526603606384,1.5866632847653874,1.0,1.0873353560463308,1.030465902269416,0.8915636043576105,-0.8915636043576105
0.67,2082,370.4218177199178,1.5840908702702956,1.0,1.0799119129434755,0.9995595647173777,0.9113325207179643,-0.9113325207179643
0.67,2083,369.4439618392154,1.5799391744121785,1.0,1.0740326114430665,0.9701630572153325,0.8967382416724076,-0.8967382416724076
0.67,2084,368.4625182049772,1.575386492528476,1.0,1.0710139714016047,0.9550698570080235,0.8752317482273444,-0.8752317482273444
0.67,2085,367.4917176069188,1.5643946140600498,1.0,1.0628947580647434,0.9144737903237171,0.8609945305428974,-0.8609945305428974
0.67,2086,366.53040513345206,1.557822587543178,1.0,1.0622316373470788,0.9111581867353941,0.8323517889916483,-0.8323517889916483
0.67,2087,365.58099573094046,1.552475855364848,1.0,1.062136157030218,0.9106807851510895,0.823825045420578,-0.823825045420578
0.67,2088,364.6353045137353,1.5562644142877171,1.0,1.0698015483115917,0.9490077415579584,0.8216074807270296,-0.8216074807270296
0.67,2089,363.7002816304295,1.5569321342639957,1.0,1.0696696022659704,0.948348011329852,0.845154624224057,-0.845154624224057
0.67,2090,362.77216868852986,1.5454286131764363,1.0,1.0566303500212224,0.883151750106112,0.8500358349523921,-0.8500358349523921
0.67,2091,361.84675838354826,1.547215704318033,1.0,1.0627483762892258,0.913741881446129,0.8101050654167028,-0.8101050654167028
0.67,2092,360.9310576440207,1.5590443820853013,1.0,1.0760005938649084,0.9800029693245421,0.8204510100338683,-0.8204510100338683
0.67,2093,360.0260321339677,1.56559601844547,1.0,1.0770910750369598,0.9854553751847989,0.8641957644081967,-0.8641957644081967
0.67,2094,359.12832422499355,1.567876830753401,1.0,1.0732587463003411,0.9662937315017056,0.8774116543350572,-0.8774116543350572
0.67,2095,358.2262956841787,1.5657364371386708,1.0,1.0676920926537634,0.938460463268817,0.8684795590862542,-0.8684795590862542
