tau_years,year,global_cooling_c,geomip_implied_injection_center_tgso2yr,geomip_implied_injection_low_tgso2yr,geomip_implied_injection_high_tgso2yr,geomip_precip_response_scale_center_mmday,geomip_precip_response_scale_low_mmday,geomip_precip_response_scale_high_mmday
0.67,2026,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2027,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2028,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2029,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2030,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2031,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2032,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2033,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2034,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2035,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2036,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.67,2037,0.02064189170894304,0.18765356099039127,0.172015764241192,0.2064189170894304,-0.0016218629199883819,-0.0022116312545296113,-0.0010320945854471522
0.67,2038,0.05296160087643309,0.48146909887666445,0.44134667397027577,0.5296160087643309,-0.004161268640291172,-0.005674457236760688,-0.002648080043821655
0.67,2039,0.0843589933068063,0.7668999391527845,0.7029916108900525,0.843589933068063,-0.006628206616963353,-0.00903846356858639,-0.004217949665340315
0.67,2040,0.10933782540805059,0.9939802309822782,0.9111485450670883,1.093378254080506,-0.008590829139203976,-0.011714767008005422,-0.005466891270402531
0.67,2041,0.12717295028711817,1.1561177298828924,1.0597745857259848,1.2717295028711817,-0.009992160379702143,-0.013625673245048377,-0.00635864751435591
0.67,2042,0.14223984378792864,1.2930894889811695,1.185332031566072,1.4223984378792864,-0.011175987726194395,-0.015239983262992356,-0.007111992189396434
0.67,2043,0.15527439494868367,1.411585408624397,1.2939532912390306,1.5527439494868367,-0.01220013103168229,-0.016636542315930394,-0.007763719747434185
0.67,2044,0.16437119175795756,1.4942835614359777,1.3697599313163131,1.6437119175795756,-0.012914879352410953,-0.017611199116924027,-0.00821855958789788
0.67,2045,0.18553226072636098,1.6866569156941906,1.5461021727196749,1.8553226072636098,-0.014577534771356936,-0.01987845650639582,-0.00927661303631805
0.67,2046,0.20698644738666072,1.8816949762423703,1.724887061555506,2.069864473866607,-0.016263220866094774,-0.022177119362856507,-0.010349322369333037
0.67,2047,0.2346999109593444,2.133635554175858,1.95583259132787,2.346999109593444,-0.018440707289662777,-0.02514641903135833,-0.011734995547967222
0.67,2048,0.2560970070245441,2.328154609314037,2.1341417252045343,2.5609700702454408,-0.02012190769478561,-0.02743896503834401,-0.012804850351227207
0.67,2049,0.283086773056453,2.5735161186950273,2.3590564421371085,2.8308677305645302,-0.022242532168721314,-0.030330725684619968,-0.014154338652822654
0.67,2050,0.3064749192303844,2.7861356293671307,2.5539576602532033,3.064749192303844,-0.02408017222524449,-0.032836598488969755,-0.015323745961519223
0.67,2051,0.3257698904362414,2.9615444585112853,2.7147490869686783,3.257698904362414,-0.025596205677133256,-0.03490391683245444,-0.016288494521812073
0.67,2052,0.3459726585582452,3.145205986893138,2.883105487985377,3.459726585582452,-0.027183566029576414,-0.037068499131240565,-0.017298632927912266
0.67,2053,0.35736225367852126,3.2487477607138295,2.978018780654344,3.5736225367852126,-0.028078462789026676,-0.03828881289412728,-0.017868112683926067
0.67,2054,0.371406753733873,3.3764250339443,3.0950562811156086,3.71406753733873,-0.02918195922194717,-0.03979358075720068,-0.018570337686693653
0.67,2055,0.38538044919388836,3.503458629035349,3.211503743282403,3.8538044919388836,-0.030279892436662664,-0.0412907624136309,-0.01926902245969442
0.67,2056,0.4010642140117042,3.646038309197311,3.342201783430869,4.010642140117042,-0.031512188243776766,-0.042971165786968316,-0.020053210700585217
0.67,2057,0.41561297048669,3.7782997316971816,3.463441420722417,4.1561297048669,-0.03265530482395422,-0.04452996112357393,-0.020780648524334505
0.67,2058,0.4437669386942604,4.03424489722055,3.6980578224521703,4.437669386942604,-0.03486740232597761,-0.04754645771724219,-0.022188346934713027
0.67,2059,0.46305209758396715,4.20956452349061,3.858767479866393,4.630520975839671,-0.03638266481016885,-0.04961272474113934,-0.02315260487919836
0.67,2060,0.4762276733350552,4.329342484864139,3.9685639444587935,4.762276733350552,-0.03741788861918292,-0.051024393571613064,-0.023811383666752766
0.67,2061,0.49289336308275367,4.48084875529776,4.107444692356281,4.928933630827537,-0.038727335670787795,-0.0528100031874379,-0.024644668154137687
0.67,2062,0.4986876071298645,4.533523701180586,4.1557300594155375,4.986876071298645,-0.03918259770306079,-0.05343081504962834,-0.02493438035649323
0.67,2063,0.4977138526569471,4.524671387790429,4.147615438807893,4.977138526569471,-0.03910608842304585,-0.05332648421324434,-0.024885692632847362
0.67,2064,0.4995757279601609,4.541597526910554,4.163131066334675,4.995757279601609,-0.039252378625441224,-0.05352597085287439,-0.02497878639800805
0.67,2065,0.49744264797555626,4.522205890686875,4.145355399796302,4.974426479755563,-0.039084779483793713,-0.053297426568809605,-0.024872132398777818
0.67,2066,0.5020118676371255,4.563744251246595,4.183432230309379,5.020118676371254,-0.03944378960005986,-0.053786985818263446,-0.025100593381856277
0.67,2067,0.49614481094126006,4.510407372193273,4.1345400911771675,4.961448109412601,-0.038982806573956155,-0.053158372600849296,-0.024807240547063007
0.67,2068,0.49725377470537757,4.520488860957978,4.1437814558781465,4.972537747053775,-0.03906993944113681,-0.053277190147004744,-0.024862688735268885
0.67,2069,0.4954097403482949,4.503724912257226,4.128414502902458,4.954097403482948,-0.038925051027366035,-0.05307961503731731,-0.024770487017414747
0.67,2070,0.49496726267818647,4.499702387983513,4.124727188984887,4.949672626781864,-0.038890284924714656,-0.05303220671551998,-0.024748363133909327
0.67,2071,0.503151989477461,4.574108995249645,4.192933245645508,5.031519894774609,-0.03953337060180051,-0.053909141729727966,-0.025157599473873055
